;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:27:04.

"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 700" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 700" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 700" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 800" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 100" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 700" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 600" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 200" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 300" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 400" 
"       HP 0.25 | CB 0.17 | CO 0.59 RESULTADO: 500" 
