;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:43:47.

"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 700" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 100" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 200" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 500" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 400" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 300" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 100" 
"       HP 0.45 | HA 0.4 | CO 0.15 RESULTADO: 600" 
