;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:34:51.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093451.log">
[5]> (algoritmo-genetico 20 100 10 
#'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 79 | Resultado: 465 | Parametros: 0.57 0.63 0.53
  --> Individuo: 80 | Resultado: 465 | Parametros: 0.70 0.22 0.68
  --> Individuo: 81 | Resultado: 445 | Parametros: 0.36 0.21 0.91
  --> Individuo: 82 | Resultado: 435 | Parametros: 0.23 0.59 0.77
  --> Individuo: 83 | Resultado: 465 | Parametros: 0.92 0.04 0.39
  --> Individuo: 84 | Resultado: 465 | Parametros: 0.77 0.28 0.58
  --> Individuo: 85 | Resultado: 470 | Parametros: 0.46 0.68 0.57
  --> Individuo: 86 | Resultado: 465 | Parametros: 0.68 0.66 0.31
  --> Individuo: 87 | Resultado: 470 | Parametros: 0.54 0.53 0.65
  --> Individuo: 88 | Resultado: 470 | Parametros: 0.46 0.70 0.55
  --> Individuo: 89 | Resultado: 470 | Parametros: 0.69 0.06 0.72
  --> Individuo: 90 | Resultado: 460 | Parametros: 0.45 0.57 0.69
  --> Individuo: 91 | Resultado: 470 | Parametros: 0.49 0.61 0.62
  --> Individuo: 92 | Resultado: 345 | Parametros: 0.02 0.22 0.97
  --> Individuo: 93 | Resultado: 465 | Parametros: 0.21 0.97 0.15
  --> Individuo: 94 | Resultado: 465 | Parametros: 0.61 0.59 0.53
  --> Individuo: 95 | Resultado: 345 | Parametros: 0.02 0.78 0.63
  --> Individuo: 96 | Resultado: 470 | Parametros: 0.32 0.88 0.36
  --> Individuo: 97 | Resultado: 470 | Parametros: 0.59 0.42 0.69
  --> Individuo: 98 | Resultado: 460 | Parametros: 0.34 0.78 0.52
  --> Individuo: 99 | Resultado: 470 | Parametros: 0.57 0.44 0.70
  --> Individuo: 100 | Resultado: 345 | Parametros: 0.03 0.52 0.85

=============== Fim da Geracao 01 | Media: 449.9500 | Best: 480.0000 | Parametros: 0.36 0.69 0.62 ==============

  --> Individuo: 01 | Resultado: 385 | Parametros: 0.64 0.57 0.51
  --> Individuo: 02 | Resultado: 370 | Parametros: 0.49 0.87 0.00
  --> Individuo: 03 | Resultado: 385 | Parametros: 0.56 0.75 0.35
  --> Individuo: 04 | Resultado: 380 | Parametros: 0.52 0.45 0.73
  --> Individuo: 05 | Resultado: 380 | Parametros: 0.55 0.40 0.74
  --> Individuo: 06 | Resultado: 380 | Parametros: 0.51 0.03 0.86
  --> Individuo: 07 | Resultado: 385 | Parametros: 0.60 0.70 0.38
