;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:38:02.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093802.log">
[3]> (algoritmo-genetico 20 100 10 #'custo-oportunidade #'heuristica-pontuacao-1 #'custo-buracos #'heuristica-pontuacao-2 #'custo-altura-agregada)
  --> Individuo: 65 | Resultado: 350 | Parametros: 0.15 0.19 0.38 0.66 0.60
  --> Individuo: 66 | Resultado: 445 | Parametros: 0.43 0.63 0.62 0.15 0.10
  --> Individuo: 67 | Resultado: 390 | Parametros: 0.30 0.30 0.02 0.89 0.17
  --> Individuo: 68 | Resultado: 445 | Parametros: 0.77 0.53 0.06 0.34 0.03
  --> Individuo: 69 | Resultado: 395 | Parametros: 0.41 0.66 0.31 0.54 0.03
  --> Individuo: 70 | Resultado: 455 | Parametros: 0.35 0.15 0.52 0.35 0.68
  --> Individuo: 71 | Resultado: 400 | Parametros: 0.35 0.63 0.24 0.49 0.42
  --> Individuo: 72 | Resultado: 405 | Parametros: 0.41 0.34 0.43 0.47 0.55
  --> Individuo: 73 | Resultado: 400 | Parametros: 0.33 0.20 0.54 0.64 0.39
  --> Individuo: 74 | Resultado: 400 | Parametros: 0.16 0.25 0.59 0.09 0.74
  --> Individuo: 75 | Resultado: 310 | Parametros: 0.07 0.13 0.33 0.82 0.44
  --> Individuo: 76 | Resultado: 425 | Parametros: 0.45 0.29 0.54 0.57 0.30
  --> Individuo: 77 | Resultado: 420 | Parametros: 0.71 0.50 0.44 0.19 0.13
  --> Individuo: 78 | Resultado: 325 | Parametros: 0.11 0.81 0.11 0.28 0.49
  --> Individuo: 79 | Resultado: 445 | Parametros: 0.46 0.50 0.03 0.03 0.73
  --> Individuo: 80 | Resultado: 445 | Parametros: 0.57 0.10 0.03 0.51 0.63
  --> Individuo: 81 | Resultado: 455 | Parametros: 0.45 0.14 0.43 0.52 0.57
  --> Individuo: 82 | Resultado: 455 | Parametros: 0.51 0.67 0.20 0.11 0.49
  --> Individuo: 83 | Resultado: 445 | Parametros: 0.57 0.74 0.03 0.32 0.16
  --> Individuo: 84 | Resultado: 400 | Parametros: 0.37 0.56 0.46 0.54 0.20
  --> Individuo: 85 | Resultado: 410 | Parametros: 0.33 0.41 0.58 0.56 0.27
  --> Individuo: 86 | Resultado: 450 | Parametros: 0.50 0.38 0.57 0.45 0.28
  --> Individuo: 87 | Resultado: 400 | Parametros: 0.34 0.44 0.52 0.65 0.05
  --> Individuo: 88 | Resultado: 345 | Parametros: 0.17 0.72 0.33 0.41 0.41
  --> Individuo: 89 | Resultado: 430 | Parametros: 0.92 0.08 0.37 0.06 0.03
  --> Individuo: 90 | Resultado: 310 | Parametros: 0.02 0.57 0.47 0.48 0.47
  --> Individuo: 91 | Resultado: 400 | Parametros: 0.37 0.60 0.23 0.63 0.26
  --> Individuo: 92 | Resultado: 450 | Parametros: 0.46 0.26 0.60 0.40 0.45
  --> Individuo: 93 | Resultado: 310 | Parametros: 0.02 0.42 0.69 0.47 0.36
  --> Individuo: 94 | Resultado: 455 | Parametros: 0.51 0.19 0.49 0.65 0.17
  --> Individuo: 95 | Resultado: 405 | Parametros: 0.41 0.21 0.76 0.02 0.46
  --> Individuo: 96 | Resultado: 420 | Parametros: 0.53 0.19 0.39 0.02 0.73
  --> Individuo: 97 | Resultado: 350 | Parametros: 0.21 0.70 0.19 0.45 0.48
  --> Individuo: 98 | Resultado: 330 | Parametros: 0.10 0.24 0.66 0.66 0.26
  --> Individuo: 99 | Resultado: 400 | Parametros: 0.28 0.08 0.43 0.59 0.63
  --> Individuo: 100 | Resultado: 445 | Parametros: 0.55 0.29 0.55 0.34 0.44

=============== Fim da Geracao 01 | Media: 401.0500 | Best: 465.0000 | Parametros: 0.55 0.01 0.53 0.60 0.25 ==============

  --> Individuo: 01 | Resultado: 430 | Parametros: 0.47 0.24 0.13 0.62 0.56
  --> Individuo: 02 | Resultado: 435 | Parametros: 0.50 0.34 0.33 0.40 0.60
  --> Individuo: 03 | Resultado: 450 | Parametros: 0.57 0.48 0.25 0.14 0.61
  --> Individuo: 04 | Resultado: 420 | Parametros: 0.44 0.57 0.30 0.36 0.50
  --> Individuo: 05 | Resultado: 450 | Parametros: 0.42 0.38 0.63 0.42 0.33
  --> Individuo: 06 | Resultado: 305 | Parametros: 0.03 0.29 0.68 0.45 0.51
  --> Individuo: 07 | Resultado: 450 | Parametros: 0.70 0.22 0.01 0.67 0.13
  --> Individuo: 08 | Resultado: 455 | Parametros: 0.61 0.16 0.76 0.12 0.06
  --> Individuo: 09 | Resultado: 435 | Parametros: 0.52 0.15 0.56 0.63 0.06
  --> Individuo: 10 | Resultado: 435 | Parametros: 0.52 0.15 0.56 0.63 0.06
