;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:18:32.

"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 700" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 700" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 700" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 800" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 100" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 700" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 700" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 100" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 100" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 200" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 300" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 600" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 400" 
"       HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 500" 
"FINAL: HP 0.08 | CB 0.23 | CO 0.68 RESULTADO: 406" 
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 22:51:43.
