;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:11:27.

"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 700" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 700" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 700" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 800" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 100" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 700" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 600" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 200" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 300" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 400" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 700" 
"       HP 0.05 | CB 0.3 | CO 0.64 RESULTADO: 500" 
