;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 08:46:21.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-084621.log">
[16]> (algoritmo-genetico 10 10 2 #'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 10 | Resultado: 430 | Constantes: 0.87 0.03 0.49

=============== Fim da Geracao 07 | Media: 415.0000 | Best: 440.0000 | Constantes: 0.52 0.75 0.41 ==============

  --> Individuo: 01 | Resultado: 340 | Constantes: 0.08 0.05 1.00
  --> Individuo: 02 | Resultado: 460 | Constantes: 0.64 0.62 0.45
  --> Individuo: 03 | Resultado: 340 | Constantes: 0.06 0.04 1.00
  --> Individuo: 04 | Resultado: 460 | Constantes: 0.54 0.75 0.38
  --> Individuo: 05 | Resultado: 460 | Constantes: 0.80 0.04 0.60
  --> Individuo: 06 | Resultado: 460 | Constantes: 0.75 0.02 0.66
  --> Individuo: 07 | Resultado: 490 | Constantes: 0.87 0.03 0.49
  --> Individuo: 08 | Resultado: 490 | Constantes: 0.87 0.03 0.49
  --> Individuo: 09 | Resultado: 460 | Constantes: 0.73 0.04 0.68
  --> Individuo: 10 | Resultado: 340 | Constantes: 0.04 0.72 0.69

=============== Fim da Geracao 08 | Media: 430.0000 | Best: 490.0000 | Constantes: 0.87 0.03 0.49 ==============

  --> Individuo: 01 | Resultado: 340 | Constantes: 0.16 0.11 0.98
  --> Individuo: 02 | Resultado: 440 | Constantes: 0.66 0.02 0.75
  --> Individuo: 03 | Resultado: 410 | Constantes: 0.85 0.03 0.52
  --> Individuo: 04 | Resultado: 420 | Constantes: 0.82 0.04 0.57
  --> Individuo: 05 | Resultado: 420 | Constantes: 0.64 0.62 0.45
  --> Individuo: 06 | Resultado: 420 | Constantes: 0.64 0.62 0.45
  --> Individuo: 07 | Resultado: 410 | Constantes: 0.85 0.04 0.52
  --> Individuo: 08 | Resultado: 420 | Constantes: 0.82 0.03 0.57
  --> Individuo: 09 | Resultado: 410 | Constantes: 0.87 0.03 0.49
  --> Individuo: 10 | Resultado: 410 | Constantes: 0.87 0.03 0.49

=============== Fim da Geracao 09 | Media: 410.0000 | Best: 440.0000 | Constantes: 0.66 0.02 0.75 ==============

  --> Individuo: 01 | Resultado: 370 | Constantes: 0.21 0.79 0.58
  --> Individuo: 02 | Resultado: 380 | Constantes: 0.55 0.09 0.83
  --> Individuo: 03 | Resultado: 390 | Constantes: 0.88 0.05 0.47
  --> Individuo: 04 | Resultado: 380 | Constantes: 0.62 0.60 0.51
  --> Individuo: 05 | Resultado: 390 | Constantes: 0.87 0.04 0.50
  --> Individuo: 06 | Resultado: 400 | Constantes: 0.86 0.03 0.52
  --> Individuo: 07 | Resultado: 380 | Constantes: 0.74 0.02 0.68
  --> Individuo: 08 | Resultado: 380 | Constantes: 0.76 0.03 0.65
  --> Individuo: 09 | Resultado: 390 | Constantes: 0.87 0.03 0.50
  --> Individuo: 10 | Resultado: 400 | Constantes: 0.86 0.04 0.51

=============== Fim da Geracao 10 | Media: 386.0000 | Best: 400.0000 | Constantes: 0.86 0.03 0.52 ==============

  --> Individuo: 01 | Resultado: 410 | Constantes: 0.56 0.59 0.58
  --> Individuo: 02 | Resultado: 360 | Constantes: 0.30 0.04 0.95
  --> Individuo: 03 | Resultado: 420 | Constantes: 0.84 0.05 0.54
  --> Individuo: 04 | Resultado: 420 | Constantes: 0.79 0.02 0.61
  --> Individuo: 05 | Resultado: 370 | Constantes: 0.24 0.11 0.96
  --> Individuo: 06 | Resultado: 410 | Constantes: 0.49 0.70 0.52
  --> Individuo: 07 | Resultado: 390 | Constantes: 0.74 0.51 0.43
  --> Individuo: 08 | Resultado: 420 | Constantes: 0.78 0.06 0.63
  --> Individuo: 09 | Resultado: 420 | Constantes: 0.83 0.03 0.56
  --> Individuo: 10 | Resultado: 410 | Constantes: 0.57 0.55 0.60

=============== Fim da Geracao 11 | Media: 403.0000 | Best: 420.0000 | Constantes: 0.84 0.05 0.54 ==============

  --> Individuo: 01 | Resultado: 460 | Constantes: 0.73 0.05 0.69
  --> Individuo: 02 | Resultado: 460 | Constantes: 0.80 0.05 0.60
  --> Individuo: 03 | Resultado: 400 | Constantes: 0.37 0.03 0.93
  --> Individuo: 04 | Resultado: 440 | Constantes: 0.63 0.09 0.77
  --> Individuo: 05 | Resultado: 450 | Constantes: 0.83 0.05 0.55
  --> Individuo: 06 | Resultado: 450 | Constantes: 0.84 0.03 0.54
  --> Individuo: 07 | Resultado: 460 | Constantes: 0.81 0.03 0.59
  --> Individuo: 08 | Resultado: 460 | Constantes: 0.59 0.57 0.57
  --> Individuo: 09 | Resultado: 440 | Constantes: 0.34 0.72 0.61
  --> Individuo: 10 | Resultado: 440 | Constantes: 0.61 0.09 0.79

=============== Fim da Geracao 12 | Media: 446.0000 | Best: 460.0000 | Constantes: 0.73 0.05 0.69 ==============

  --> Individuo: 01 | Resultado: 390 | Constantes: 0.72 0.03 0.70
  --> Individuo: 02 | Resultado: 390 | Constantes: 0.71 0.08 0.70
  --> Individuo: 03 | Resultado: 390 | Constantes: 0.65 0.03 0.76
  --> Individuo: 04 | Resultado: 390 | Constantes: 0.53 0.07 0.85
  --> Individuo: 05 | Resultado: 390 | Constantes: 0.53 0.65 0.55
  --> Individuo: 06 | Resultado: 400 | Constantes: 0.39 0.65 0.65
  --> Individuo: 07 | Resultado: 390 | Constantes: 0.56 0.63 0.54
  --> Individuo: 08 | Resultado: 390 | Constantes: 0.52 0.08 0.85
  --> Individuo: 09 | Resultado: 390 | Constantes: 0.68 0.05 0.74
  --> Individuo: 10 | Resultado: 390 | Constantes: 0.66 0.10 0.75

=============== Fim da Geracao 13 | Media: 391.0000 | Best: 400.0000 | Constantes: 0.39 0.65 0.65 ==============

  --> Individuo: 01 | Resultado: 410 | Constantes: 0.61 0.04 0.79
  --> Individuo: 02 | Resultado: 430 | Constantes: 0.65 0.58 0.49
  --> Individuo: 03 | Resultado: 410 | Constantes: 0.65 0.03 0.76
  --> Individuo: 04 | Resultado: 410 | Constantes: 0.65 0.03 0.76
  --> Individuo: 05 | Resultado: 410 | Constantes: 0.54 0.64 0.55
  --> Individuo: 06 | Resultado: 400 | Constantes: 0.55 0.07 0.83
  --> Individuo: 07 | Resultado: 410 | Constantes: 0.69 0.08 0.72
  --> Individuo: 08 | Resultado: 410 | Constantes: 0.70 0.05 0.72
  --> Individuo: 09 | Resultado: 410 | Constantes: 0.57 0.09 0.82
  --> Individuo: 10 | Resultado: 410 | Constantes: 0.61 0.03 0.79

=============== Fim da Geracao 14 | Media: 411.0000 | Best: 430.0000 | Constantes: 0.65 0.58 0.49 ==============

  --> Individuo: 01 | Resultado: 460 | Constantes: 0.64 0.08 0.76
  --> Individuo: 02 | Resultado: 460 | Constantes: 0.66 0.03 0.75
  --> Individuo: 03 | Resultado: 460 | Constantes: 0.69 0.05 0.72
  --> Individuo: 04 | Resultado: 460 | Constantes: 0.69 0.08 0.71
  --> Individuo: 05 | Resultado: 460 | Constantes: 0.47 0.57 0.67
  --> Individuo: 06 | Resultado: 440 | Constantes: 0.77 0.03 0.64
  --> Individuo: 07 | Resultado: 460 | Constantes: 0.69 0.08 0.72
  --> Individuo: 08 | Resultado: 460 | Constantes: 0.69 0.08 0.72
  --> Individuo: 09 | Resultado: 460 | Constantes: 0.64 0.03 0.77
  --> Individuo: 10 | Resultado: 460 | Constantes: 0.63 0.04 0.78

=============== Fim da Geracao 15 | Media: 458.0000 | Best: 460.0000 | Constantes: 0.64 0.08 0.76 ==============

  --> Individuo: 01 | Resultado: 430 | Constantes: 0.64 0.03 0.77
  --> Individuo: 02 | Resultado: 430 | Constantes: 0.64 0.08 0.76
  --> Individuo: 03 | Resultado: 430 | Constantes: 0.69 0.08 0.72
  --> Individuo: 04 | Resultado: 430 | Constantes: 0.69 0.05 0.72
