;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:35:16.

"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 700" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 700" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 700" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 100" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 100" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 100" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 100" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 100" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 200" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 300" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 600" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 400" 
"       HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 500" 
"FINAL: HP 0.2 | HA 0.7 | CO 0.1 RESULTADO: 386" 
;; Dribble of #<IO TERMINAL-STREAM> finished on 2015-11-30 23:08:17.
