Teste Tempo Pontuacao
0 5.60 200
1 128.30 300
2 5.07 200
3 11.35 200
4 25.63 600
5 4.38 500
6 27.99 500
7 5.30 200
8 1.85 300
9 31.98 500
10 240.19 0
11 43.04 600
12 240.07 0
13 15.66 400
14 240.11 0
15 21.66 400
16 10.78 400
17 17.25 400
18 240.51 0
19 240.13 0
20 240.12 0
21 117.29 200
22 240.23 0
23 240.06 0
24 11.75 300
25 2.91 300
26 0.14 600
27 1.53 600
28 240.09 0
29 72.69 100
30 1.40 400
31 240.11 0
32 23.52 200
33 240.16 0
34 47.35 100
35 240.13 0
36 15.79 300
37 240.34 0
38 2.81 300
39 240.19 0
40 240.24 0
41 0.64 600
42 0.45 500
43 46.75 400
44 58.72 400
45 0.81 200
46 2.70 600
47 19.01 200
48 0.58 300
49 2.74 300
50 35.12 300
51 240.33 0
52 240.05 0
53 0.12 400
54 0.06 400
55 240.05 0
56 47.48 100
57 240.12 0
58 0.04 400
59 240.06 0
60 0.03 500
61 240.21 0
62 240.06 0
63 115.65 200
64 0.35 400
65 0.14 400
66 5.58 200
67 0.21 500
68 53.23 100
69 240.17 0
70 8.82 500
71 7.14 300
72 71.73 400
73 0.08 600
74 8.23 400
75 4.74 400
76 0.51 500
77 32.70 300
78 35.71 400
79 240.07 0
80 240.10 0
81 34.29 400
82 0.08 500
83 240.58 0
84 240.17 0
85 0.56 300
86 240.29 0
87 240.17 0
88 3.23 400
89 2.21 300
90 140.42 500
91 104.54 300
92 240.19 0
93 29.96 300
94 13.93 200
95 240.08 0
96 240.16 0
97 240.29 0
98 91.42 300
99 16.19 300
