;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 22:09:28.

"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 700" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 200" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 200" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 700" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 700" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 800" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 200" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 400" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 100" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 200" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 700" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 200" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 600" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 300" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
"       HP 0.16 | CB 0.48 | CO 0.36 RESULTADO: 500" 
